Node id 1,Node id 2,Sign
0,1,-1
0,2,-1
0,3,-1
0,4,-1
0,5,1
0,6,1
0,7,-1
0,8,-1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,1
1,9,1
1,8,1
1,10,1
1,11,-1
1,12,-1
1,13,-1
1,14,1
1,15,1
1,34,-1
1,19,1
1,35,1
2,3,-1
2,4,-1
2,5,1
2,6,-1
2,7,-1
2,8,1
2,9,1
2,10,1
2,11,-1
2,12,-1
2,13,-1
2,14,1
2,60,1
2,51,1
2,58,1
2,15,1
2,59,1
2,61,1
2,62,1
2,49,1
2,63,1
2,66,-1
2,40,1
2,65,-1
2,64,-1
2,67,1
2,68,-1
2,69,1
2,70,-1
2,34,-1
2,71,1
2,72,-1
2,73,-1
2,109,1
2,108,1
2,101,1
2,107,1
2,106,1
2,36,-1
2,110,1
2,95,-1
2,111,-1
3,4,-1
3,5,-1
3,6,-1
3,7,-1
3,8,1
3,9,1
3,10,-1
3,11,-1
3,12,-1
3,13,-1
3,17,-1
3,15,-1
3,14,-1
3,16,-1
3,18,-1
3,19,1
3,20,1
3,21,-1
3,22,-1
3,25,1
3,24,-1
3,26,1
3,32,1
3,33,-1
4,5,1
4,6,-1
4,7,-1
4,8,-1
4,9,1
4,66,1
4,40,1
4,65,-1
4,64,-1
4,58,-1
4,67,1
4,68,-1
4,69,1
4,70,-1
4,34,-1
4,71,1
4,72,-1
5,6,1
5,7,1
5,8,1
5,9,1
5,10,1
5,11,-1
5,12,-1
5,13,-1
5,14,1
5,21,1
5,22,1
5,20,1
5,19,-1
5,18,1
5,23,-1
5,24,-1
5,15,-1
5,25,-1
6,7,-1
6,8,-1
6,9,1
6,19,-1
6,18,-1
6,12,-1
6,13,-1
6,17,-1
6,15,-1
6,14,-1
6,20,1
6,21,-1
6,22,-1
7,8,-1
7,9,1
7,10,1
7,11,-1
7,12,-1
7,13,-1
7,14,-1
8,9,1
8,10,1
8,11,-1
8,12,1
8,13,1
8,14,1
8,15,-1
8,16,-1
8,17,1
8,25,-1
8,24,-1
8,19,-1
8,23,-1
8,21,-1
9,10,1
9,11,-1
9,12,1
9,13,1
9,14,1
9,15,-1
9,16,-1
9,17,1
9,25,-1
9,24,1
9,19,-1
9,23,-1
9,21,-1
9,99,1
9,98,1
9,94,1
9,97,1
9,96,1
9,95,1
9,93,1
9,34,1
9,100,1
9,101,-1
9,83,1
10,11,-1
10,12,-1
10,13,-1
10,14,1
10,19,-1
10,15,-1
10,24,-1
10,32,-1
10,22,-1
10,33,1
10,34,-1
10,35,1
10,36,-1
10,37,1
10,38,1
10,39,-1
10,40,1
10,41,1
10,42,1
11,12,-1
11,13,-1
11,14,1
11,15,1
11,16,-1
11,95,1
11,108,1
11,72,-1
11,113,1
11,22,1
12,13,1
12,14,1
12,15,1
12,16,-1
12,17,1
12,18,-1
12,19,1
12,20,1
12,21,-1
12,22,-1
13,14,1
13,15,-1
13,16,-1
13,17,1
13,18,-1
13,19,1
13,20,1
13,21,-1
13,22,-1
14,15,1
14,16,1
14,17,1
14,18,-1
14,19,1
15,16,-1
15,17,1
15,18,-1
15,19,1
15,24,-1
15,23,-1
15,25,-1
15,21,-1
15,26,1
15,27,1
15,28,-1
15,29,1
15,22,-1
15,30,-1
15,31,-1
15,32,-1
15,33,-1
15,34,-1
15,35,1
15,36,-1
15,37,1
15,38,1
15,39,-1
15,40,-1
15,41,1
15,42,-1
15,43,-1
15,54,-1
15,53,-1
15,50,-1
15,49,1
15,55,1
15,56,-1
15,57,1
15,58,-1
15,59,1
15,51,1
15,60,1
15,61,1
15,62,1
15,63,1
16,17,1
16,18,-1
16,93,1
16,34,1
16,91,1
16,92,1
16,94,1
16,95,1
16,96,1
16,97,1
16,98,1
16,99,1
16,100,-1
17,18,-1
17,19,1
17,20,1
17,21,-1
18,19,1
18,20,1
18,21,-1
18,22,-1
19,20,1
19,21,-1
19,22,-1
19,23,-1
19,24,-1
19,25,-1
19,28,1
19,29,1
19,30,-1
19,31,-1
19,32,-1
19,34,1
19,35,1
19,36,-1
19,37,1
19,38,1
19,39,-1
19,40,1
19,41,1
20,21,-1
20,22,-1
21,22,-1
21,23,-1
21,24,-1
21,25,1
21,41,-1
21,50,-1
21,49,-1
21,42,-1
21,48,-1
21,53,1
21,54,1
21,34,-1
21,55,1
22,23,-1
22,29,1
22,28,-1
22,24,-1
22,30,1
22,31,-1
22,32,-1
22,37,1
22,36,1
22,35,1
22,34,-1
22,38,1
22,39,-1
22,40,1
22,41,1
22,42,1
22,46,-1
22,45,-1
22,44,-1
22,43,-1
22,47,1
22,48,1
22,70,-1
22,73,-1
22,72,-1
22,71,-1
22,69,-1
22,68,-1
22,67,-1
22,74,-1
22,75,1
22,76,1
22,77,-1
22,78,-1
22,113,-1
22,95,1
22,108,-1
23,24,-1
23,25,-1
24,25,-1
24,29,1
24,28,-1
24,30,-1
24,31,1
24,32,1
24,46,-1
24,45,-1
24,44,-1
24,43,-1
24,41,-1
24,42,-1
24,36,-1
24,47,-1
24,48,1
25,26,1
26,27,1
26,28,1
26,29,1
27,28,1
27,29,1
28,29,-1
28,30,-1
30,31,-1
30,32,-1
31,32,-1
34,35,1
34,36,-1
34,37,1
34,38,1
34,54,-1
34,53,-1
34,41,-1
34,50,-1
34,49,-1
34,55,-1
34,56,-1
34,57,1
34,58,-1
34,70,-1
34,69,-1
34,68,-1
34,67,-1
34,40,-1
34,66,-1
34,71,1
34,72,-1
34,73,-1
34,91,-1
34,92,-1
34,93,1
34,94,1
34,95,1
34,96,1
34,97,1
34,98,1
34,99,1
35,36,-1
35,37,1
35,38,1
35,39,-1
35,40,1
35,41,-1
35,42,1
36,37,1
36,38,1
36,39,-1
36,40,1
36,41,-1
36,42,1
36,43,1
36,44,-1
36,45,-1
36,46,1
36,101,1
36,65,-1
36,106,1
36,97,-1
36,107,1
36,108,1
36,109,-1
36,110,-1
36,111,-1
36,95,-1
37,38,1
37,39,-1
37,40,1
37,41,-1
37,42,1
38,39,-1
38,40,1
38,41,-1
38,42,1
39,40,1
39,41,-1
39,42,1
40,41,-1
40,42,-1
40,43,1
40,44,-1
40,45,-1
40,65,1
40,64,1
40,58,1
40,66,1
40,67,1
40,68,-1
40,69,1
40,70,-1
40,71,1
40,72,-1
40,73,-1
41,42,-1
41,43,1
41,44,1
41,45,1
41,46,1
41,47,1
41,48,1
41,49,1
41,50,-1
41,51,1
41,52,-1
41,53,1
41,54,1
41,55,1
42,43,1
42,44,-1
42,45,-1
42,46,1
42,47,-1
42,48,-1
42,49,1
42,50,-1
42,51,1
42,52,-1
42,53,1
42,54,1
42,70,-1
42,71,-1
42,81,1
42,74,-1
42,82,-1
42,78,-1
42,83,-1
42,84,-1
42,80,1
42,77,-1
42,85,-1
43,44,-1
43,45,-1
43,46,1
43,47,-1
43,48,1
43,49,-1
43,50,-1
43,51,1
44,45,-1
44,46,1
44,47,-1
44,48,-1
44,49,1
45,46,1
45,47,-1
45,48,1
45,51,-1
45,50,1
45,49,-1
46,47,-1
46,48,-1
47,48,1
48,49,1
48,50,-1
48,51,1
48,52,-1
49,50,-1
49,51,1
49,53,1
49,54,1
49,55,1
49,61,1
49,62,1
49,60,1
49,58,-1
49,63,1
49,64,1
49,65,1
50,51,1
50,52,1
50,53,1
50,54,1
50,55,1
50,81,1
50,80,1
50,77,-1
50,85,-1
50,71,-1
51,58,1
51,59,1
51,60,1
51,61,1
51,62,1
53,54,1
53,55,1
54,55,1
54,56,-1
55,56,-1
56,57,1
56,58,-1
57,58,1
57,59,1
58,59,1
58,60,1
58,61,-1
58,62,1
58,63,-1
58,64,1
58,65,1
58,66,1
59,60,1
59,61,1
60,61,1
60,62,1
61,62,1
61,63,1
61,64,1
61,65,1
62,63,1
63,64,1
63,65,1
64,65,1
64,66,1
64,67,1
65,66,1
65,67,1
65,68,-1
65,102,1
65,101,1
65,103,1
65,95,-1
65,97,1
65,105,-1
65,106,-1
65,107,1
65,108,1
65,109,-1
65,110,-1
65,111,-1
66,67,1
66,68,-1
66,69,1
66,70,-1
66,71,1
67,68,-1
67,69,1
67,70,-1
67,71,1
67,72,-1
67,73,-1
68,69,1
68,70,-1
68,71,1
68,72,-1
68,73,-1
69,70,-1
69,71,1
69,72,-1
69,73,-1
70,71,1
70,72,-1
70,73,-1
70,74,1
70,75,1
70,81,1
70,82,1
70,79,1
70,78,1
70,83,-1
71,72,-1
71,73,-1
71,81,1
71,74,1
71,82,1
71,79,1
71,78,1
71,83,1
71,77,-1
71,85,-1
71,80,-1
71,86,1
71,87,1
71,88,-1
71,89,1
71,90,1
71,91,1
71,92,-1
72,73,-1
72,74,-1
72,75,1
72,76,1
72,95,1
72,108,1
72,110,1
72,101,1
72,113,1
73,74,-1
73,75,1
73,76,1
73,77,1
73,81,1
73,79,-1
73,78,1
73,80,1
73,82,1
74,75,1
74,76,1
74,77,-1
74,78,-1
74,79,-1
74,80,-1
74,81,1
74,82,1
74,101,1
74,95,1
74,110,1
74,112,1
75,76,1
76,77,-1
76,78,-1
77,78,-1
77,79,-1
77,80,-1
77,81,1
77,82,1
77,85,-1
77,86,1
77,83,1
77,87,1
77,88,-1
77,89,1
77,90,1
77,91,1
77,92,-1
78,79,-1
78,80,-1
78,81,1
78,82,1
78,83,-1
78,84,1
78,87,1
78,85,1
78,88,-1
78,89,1
78,90,1
78,91,1
78,92,-1
79,80,-1
79,81,-1
79,82,1
80,81,1
80,85,-1
81,82,1
81,84,1
81,83,1
81,85,-1
83,84,1
83,86,-1
83,85,1
83,100,1
83,101,1
83,99,1
83,98,1
83,102,1
83,103,1
83,104,1
85,86,1
85,87,-1
85,88,-1
85,89,1
86,87,-1
87,88,-1
87,89,1
87,90,1
87,91,1
87,92,-1
88,89,1
88,90,1
88,91,1
88,92,-1
89,90,1
89,91,1
89,92,-1
90,91,1
90,92,-1
91,92,-1
91,93,1
91,94,1
91,95,1
91,96,1
91,97,1
91,98,1
91,99,1
92,93,1
92,94,1
92,95,1
92,96,1
92,97,1
92,98,1
93,94,1
93,95,1
93,96,1
93,97,1
93,98,1
93,99,1
93,100,1
94,95,1
94,96,1
94,97,1
94,98,1
94,99,1
94,100,1
94,101,-1
95,96,1
95,97,1
95,98,1
95,99,1
95,100,1
95,101,-1
95,104,1
95,103,-1
95,102,-1
95,105,1
95,110,-1
95,109,-1
95,108,1
95,107,-1
95,111,-1
95,112,1
95,113,1
96,97,1
96,98,1
96,99,1
96,100,1
96,101,-1
97,98,1
97,99,1
97,100,1
97,101,-1
97,102,1
97,103,1
97,105,1
97,106,1
98,99,1
98,100,1
98,101,-1
99,100,1
99,101,-1
100,101,-1
100,102,1
100,103,1
100,104,1
101,102,1
101,103,1
101,104,-1
101,105,1
101,106,1
101,107,1
101,108,1
101,109,1
101,110,1
101,111,1
101,112,1
102,103,-1
102,104,1
102,105,1
103,104,1
103,105,1
106,107,1
106,108,1
106,109,1
106,110,1
107,108,1
107,109,1
107,110,1
107,111,-1
108,109,1
108,110,-1
108,111,-1
108,113,-1
109,110,1
109,111,-1
110,111,-1
110,112,1
